iter	Passed	Remaining
0	33784	6723110
1	67219	6654753
2	99726	6548691
3	132307	6483048
4	164733	6424605
5	198022	6402725
6	222739	6141245
7	234105	5618521
8	245182	5203312
9	256063	4865215
10	266957	4586811
11	278004	4355409
12	288948	4156418
13	299864	3983920
14	311089	3836770
15	322024	3703276
16	332931	3583911
17	343969	3477913
18	355138	3383163
19	366224	3296018
20	377210	3215266
21	388575	3143929
22	399613	3075289
23	410612	3011155
24	421742	2952195
25	433205	2899147
26	444157	2845896
27	455152	2795934
28	466359	2749912
29	477733	2707158
30	488632	2663837
31	499744	2623656
32	510811	2585018
33	522141	2549281
34	533245	2513869
35	544360	2479863
36	555404	2446782
37	566676	2415831
38	577974	2385996
39	588960	2355840
40	600414	2328437
41	611373	2299928
42	622790	2273910
43	633911	2247503
44	645105	2222028
45	656542	2197988
46	667558	2173117
47	678477	2148511
48	689703	2125413
49	700706	2102120
50	711939	2079978
51	723343	2058746
52	734442	2037039
53	745546	2015735
54	756572	1994601
55	768161	1975272
56	779058	1954480
57	790171	1934558
58	801643	1915792
59	812852	1896655
60	823836	1877265
61	835274	1859158
62	846241	1840240
63	857352	1821873
64	868432	1803667
65	879892	1786448
66	890785	1768274
67	902040	1751020
68	913556	1734433
69	924474	1716881
70	935572	1699843
71	947083	1683704
72	958377	1667314
73	969291	1650414
74	980843	1634739
75	991933	1618417
76	1003159	1602449
77	1014393	1586615
78	1025771	1571118
79	1036892	1555338
80	1047973	1539615
81	1059488	1524630
82	1070667	1509253
83	1081648	1493705
84	1092602	1478227
85	1103534	1462824
86	1114566	1447655
87	1125890	1432951
88	1136969	1418018
89	1148500	1403722
90	1159430	1388768
91	1170504	1374070
92	1181996	1359931
93	1192909	1345195
94	1203955	1330687
95	1214845	1316082
96	1226350	1302207
97	1237435	1287943
98	1248857	1274086
99	1259880	1259880
100	1270900	1245734
101	1282080	1231802
102	1293176	1217845
103	1303886	1203587
104	1314897	1189668
105	1326291	1176145
106	1337144	1162191
107	1348078	1148362
108	1359402	1134913
109	1370219	1121088
110	1381295	1107525
111	1392108	1093799
112	1403459	1080539
113	1414461	1067049
114	1425198	1053407
115	1436651	1040333
116	1447670	1026979
117	1458575	1013586
118	1470009	1000594
119	1480992	987328
120	1491790	973978
121	1503128	961016
122	1514104	947854
123	1524985	934668
124	1536460	921876
125	1547367	908771
126	1558175	895644
127	1569498	882843
128	1580577	869930
129	1591348	856880
130	1602734	844188
131	1613867	831386
132	1624624	818419
133	1636027	805804
134	1646976	792988
135	1658392	780420
136	1669270	767620
137	1680294	754914
138	1691634	742371
139	1702532	729656
140	1713540	717013
141	1724890	704532
142	1735680	691844
143	1746681	679264
144	1758001	666828
145	1768690	654173
146	1779667	641648
147	1791080	629298
148	1802030	616802
149	1812879	604293
150	1824212	591963
151	1835121	579511
152	1846053	567088
153	1857371	554799
154	1868286	542405
155	1879290	530056
156	1890530	517788
157	1901513	505465
158	1912667	493203
159	1923879	480969
160	1934788	468675
161	1945830	456429
162	1957094	444248
163	1968011	432002
164	1979084	419805
165	1990353	407662
166	2001174	395441
167	2012175	383271
168	2023491	371172
169	2034534	359035
170	2045327	346868
171	2056611	334797
172	2067631	322693
173	2078427	310569
174	2089810	298544
175	2101018	286502
176	2112320	274482
177	2123212	262419
178	2134184	250379
179	2145529	238392
180	2156630	226386
181	2167395	214357
182	2178429	202367
183	2189896	190425
184	2200677	178433
185	2211611	166465
186	2223012	154540
187	2234011	142596
188	2244812	130650
189	2256280	118751
190	2267201	106831
191	2278175	94923
192	2289032	83021
193	2299889	71130
194	2311251	59262
195	2322215	47392
196	2333037	35528
197	2344415	23680
198	2355428	11836
199	2366678	0
