iter	MultiRMSE
0	69.04959466
1	68.02138576
2	67.33896077
3	66.3961204
4	65.57644377
5	64.89610545
6	64.31466133
7	63.82906796
8	63.3390007
9	62.85203847
10	62.44600382
11	62.13429437
12	61.7616506
13	61.48656974
14	61.22765121
15	60.89731156
16	60.65357129
17	60.38714442
18	60.11412862
19	59.9473456
20	59.73262149
21	59.5663315
22	59.40490376
23	59.22353525
24	59.08647121
25	58.93513321
26	58.7736808
27	58.65092277
28	58.49724264
29	58.33824853
30	58.21138285
31	58.07383871
32	57.95426739
33	57.78561349
34	57.65877431
35	57.51716455
36	57.4004801
37	57.30765478
38	57.16904931
39	57.05783047
40	56.96777662
41	56.83638373
42	56.71521237
43	56.6089516
44	56.48686905
45	56.37412044
46	56.2742455
47	56.17178044
48	56.06512686
49	55.97289441
50	55.86496562
51	55.76356227
52	55.66039572
53	55.58898985
54	55.4795618
55	55.3699769
56	55.28098271
57	55.16692102
58	55.05893737
59	54.96490996
60	54.84212811
61	54.74782297
62	54.66561312
63	54.59663158
64	54.50219813
65	54.39544268
66	54.33447408
67	54.24767175
68	54.13869387
69	54.0577942
70	53.95907791
71	53.86946088
72	53.77144307
73	53.68110244
74	53.59120713
75	53.48094116
76	53.41498961
77	53.33542764
78	53.22203945
79	53.14720275
80	53.03405126
81	52.94422428
82	52.85049712
83	52.77916879
84	52.67281422
85	52.57368461
86	52.4824461
87	52.39719627
88	52.30809437
89	52.23855041
90	52.17254357
91	52.08465201
92	52.00213743
93	51.93243566
94	51.85042324
95	51.74516032
96	51.64781796
97	51.57450039
98	51.52228507
99	51.38971119
100	51.30047906
101	51.21059659
102	51.10487242
103	51.03210086
104	50.97341061
105	50.86638712
106	50.7866325
107	50.68368963
108	50.62970488
109	50.5738846
110	50.48693916
111	50.40331169
112	50.32545168
113	50.20249207
114	50.10030764
115	50.02692779
116	49.9432211
117	49.87337736
118	49.78049391
119	49.72293107
120	49.66941011
121	49.58432384
122	49.52804545
123	49.45272083
124	49.36761346
125	49.30040363
126	49.24380503
127	49.1691681
128	49.11353108
129	49.052113
130	48.94710644
131	48.8755716
132	48.78215375
133	48.69726229
134	48.6373428
135	48.55927932
136	48.4977425
137	48.43112427
138	48.35386907
139	48.28289138
140	48.21258883
141	48.108343
142	48.01543279
143	47.94531639
144	47.88779628
145	47.80522372
146	47.69826769
147	47.60258849
148	47.54001351
149	47.500356
150	47.42485114
151	47.38654756
152	47.31143895
153	47.21407897
154	47.14523727
155	47.06521685
156	47.00350941
157	46.90396247
158	46.822438
159	46.7307593
160	46.66204566
161	46.57765312
162	46.49723152
163	46.40310131
164	46.32177376
165	46.24163141
166	46.18085812
167	46.11136031
168	46.03939834
169	45.98540223
170	45.92075684
171	45.84388409
172	45.78889298
173	45.73953281
174	45.67948288
175	45.6092725
176	45.50489502
177	45.41064739
178	45.35293092
179	45.3078738
180	45.24984384
181	45.18807171
182	45.11494539
183	45.00903781
184	44.94795812
185	44.89500717
186	44.83361927
187	44.73883705
188	44.68170095
189	44.59536785
190	44.50102787
191	44.44501417
192	44.37806596
193	44.30215636
194	44.24839783
195	44.18648962
196	44.10589617
197	44.02822512
198	43.96199153
199	43.89545743
